River,lat,lon,Type1,Type2,nwis_gage,Width,PAR_kurt,width_to_area,PrecipWs,MOD_ann_NPP,RBI,Disch_cv,Disch_amp,Disch_ar1,drainage_density_connected,ElevWs,Stream_PAR_sum,TmeanWs,max_interstorm
Klamath River,41.84164,-123.2109,Dam tail waters,NA,11520500,35,-0.06,12.640066683925966,1491.8175791120093,624.6800000000001,0.08022158062983972,0.36,1,0.799,0.6492257913895667,900.604,9.960513400023215,12.067818792748268,81
Rattlesnake Creek,46.5042775,-119.707766,Spring,Desert,12510655,5,-0.05,0.294762300529579,234.09160527739144,168.38,0.02698383428606552,0.11,0.75,0.813,1.1181157117423228,568.9192,8.25763263149556,9.766669905986957,54
Silver Springs,29.215,-82.025,Spring,NA,02239501,40,0.08,5.763793474015693,1296.8385822348696,1236.19996,0.00364019033014352,0.04,1.1549999999999998,0.8314999999999999,0.12369251164562822,18.7382,10.245077765838152,21.208142086503585,365
Polecat Creek,44.11,-110.68,Spring,NA,13040500,30,-0.05,3.811771160100089,1114.263787870688,533.9200000000001,0.00273994681279716,0.03,0.83,0.868,0.4155234080240843,2370.2458,9.264527302016402,1.7172140547159327,274
SF Humboldt River,40.6256,-115.73041,Dam tail waters,Snowmelt,10319900,20,-0.02,0.48673283446896815,251.7,229.98,0.09705135956486816,0.69,0.95,0.8975,0.5917707460945605,1544,10.475523152766655,NA,54
Colorado River,36.9,-111.5,Dam tail waters,NA,09380000,110,-0.02,0.20931352693998925,407.92579809964445,98.36,0.0543352585799883,0.1,0.295,0.3705,6.960916444184422e-5,2155.8371,10.796527355749564,7.336236122509414,114.5
Sycamore Creek,33.75,-111.5,Desert,NA,09510200,5,0,0.875580746409732,568.9060239709543,163.34,0.6860886700876845,0.9,0.335,0.422,1.0511844982913092,1196.5936,10.448213516892926,17.429858185312366,61.5
Clark Fork River,46.69,-113.2,Snowmelt,NA,12331800,20,-0.03,0.2576044259271414,501.55319198573767,319.96000000000004,0.06603290703136179,0.305,0.8200000000000001,0.8574999999999999,0.44482911151376586,1821.2717,8.229342557503387,4.019361278992939,55.5
Oakbrook Creek,39.0051,-84.6893,Urban,NA,03260100,5,0.02,1.5901503037213751,1084.39221000343,623.0799999999999,1.187419601465984,0.79,0.22,0.183,0.6457824654242247,265.8739,7.11237919793743,12.426918270736088,15
Kinnickinnic River,42.996,-87.919,Urban,NA,04087159,12,-0.02,1.5974437214484871,877.0275545655867,0,0.966776334556796,0.64,0.19,0.194,0.36551302971442406,209.8786,9.81218887625564,8.872830325588426,20
Maple Creek,41.5614,-96.5419,Agricultural,NA,06800000,35,-0.02,1.1342906827993569,751.0688968674153,525.42,0.4979457819778827,0.62,0.35,0.489,0.7039700979080675,465.0323,8.819053719309908,9.50412556298825,36
